Custid,Rcn,Frq,Mnt,Clothes,Kitchen,SmallAppliances,HouseKeeping,Toys,NetPurchase,StorePurchase,Recomendation,Credit_Card
2926,83,26,687.44,66,6,26,0,2,71,29,5,
2927,37,35,1804.4,64,5,22,6,3,10,90,4,
2928,73,13,94.64,15,13,49,19,3,75,25,3,
2936,77,10,32.24,9,34,28,25,4,65,35,2,
2937,84,8,32.24,55,6,33,5,1,55,45,4,
2956,85,16,315.12,31,11,41,9,8,52,48,4,
2961,29,21,567.84,88,0,10,0,1,48,52,5,
2970,94,39,1668.16,52,6,27,8,6,34,66,5,
2973,66,30,1266.72,30,16,20,21,13,28,72,4,
2981,21,13,59.28,27,25,15,6,27,70,30,2,
2983,13,19,358.8,80,0,15,2,2,61,39,4,
2986,48,25,681.2,8,8,27,25,32,51,49,5,
2990,86,7,39.52,62,2,30,3,3,48,52,4,
2997,9,18,411.84,68,4,19,4,5,56,44,4,
2999,60,20,797.68,21,0,33,20,25,17,83,3,
3000,96,13,159.12,57,2,37,1,2,61,39,4,
3006,96,6,33.28,41,3,14,23,18,38,62,4,
3007,67,39,1929.2,60,5,30,4,1,18,82,5,
3008,100,18,564.72,64,2,26,5,2,27,73,4,
3009,48,10,39.52,40,3,35,2,20,64,36,3,Yes
3010,22,20,618.8,18,1,53,3,25,35,65,4,
3012,451,7,14.56,12,3,48,31,6,62,38,4,
3014,60,28,1260.48,43,5,40,5,7,22,78,5,
3017,95,11,93.6,57,6,28,2,7,51,49,4,
3022,31,18,317.2,62,2,14,17,5,41,59,4,
3028,23,8,20.8,16,4,26,54,0,56,44,5,
3030,61,28,1256.32,49,6,40,4,1,19,81,5,
3044,27,9,41.6,90,0,7,2,0,57,43,4,
3046,16,17,306.8,44,9,23,1,23,62,38,3,
3051,98,38,1989.52,33,2,47,12,6,9,91,6,
3055,42,27,862.16,85,0,14,0,1,37,63,6,
3063,90,8,17.68,36,5,43,10,7,58,42,4,
3066,1,13,125.84,57,2,36,3,2,56,44,3,
3067,150,9,15.6,22,21,31,15,11,58,42,2,
3070,77,34,1470.56,71,9,11,4,6,23,77,5,
3076,70,8,26,21,31,42,2,5,60,40,5,
3077,59,24,1069.12,29,2,34,21,14,13,87,3,
3078,78,9,65.52,56,9,17,10,9,54,46,5,
3079,97,43,2255.76,79,1,18,1,1,13,87,5,
3085,67,11,49.92,38,8,41,5,8,65,35,3,
3086,59,11,50.96,4,28,15,11,43,62,38,3,
3091,65,23,928.72,84,1,14,1,1,20,80,2,
3100,92,30,1262.56,66,3,27,3,1,29,71,5,
3109,64,11,52,66,0,32,1,1,69,31,4,
3112,41,9,59.28,29,10,47,5,10,54,46,3,
3113,48,12,66.56,27,12,42,17,1,68,32,3,
3118,0,23,985.92,20,11,40,9,20,17,83,3,
3119,86,13,192.4,82,1,14,2,2,56,44,3,
3120,46,11,56.16,31,8,35,20,6,62,38,4,
3121,5,6,43.68,23,23,21,4,29,45,55,2,
3122,91,15,360.88,89,1,6,2,2,44,56,4,
3131,4,23,984.88,19,3,55,9,13,14,86,3,
3132,68,6,66.56,78,1,17,1,2,27,73,4,
3133,94,13,94.64,10,8,63,12,8,62,38,3,
3134,92,11,68.64,55,3,36,1,6,71,29,3,
3135,15,37,1867.84,31,7,53,5,4,12,88,6,
3138,70,12,232.96,43,16,26,7,9,40,60,4,
3139,32,30,1050.4,47,3,27,11,13,34,66,5,
3140,29,7,124.8,27,12,30,17,14,16,84,4,
3142,495,6,19.76,38,10,35,7,10,33,67,5,
3143,28,30,1457.04,54,1,40,2,3,13,87,6,
3144,98,28,1183.52,41,2,38,10,10,31,69,5,
3146,0,8,73.84,57,3,33,1,6,42,58,2,
3148,68,50,2691.52,53,2,37,4,4,9,91,5,
3151,45,16,229.84,47,8,34,4,7,54,46,3,
3152,89,15,362.96,49,13,21,13,3,29,71,5,
3153,96,44,2382.64,36,9,44,5,7,9,91,5,
3160,2,11,96.72,94,0,5,0,0,53,47,2,
3162,77,31,1054.56,98,0,2,0,0,56,44,4,
3169,13,11,122.72,48,7,28,14,2,37,63,2,
3170,49,29,1335.36,9,28,36,17,10,11,89,4,
3174,65,18,560.56,49,8,39,2,2,25,75,4,
3176,25,32,1537.12,50,7,34,7,1,16,84,5,
3178,85,11,157.04,90,0,7,0,3,57,43,3,
3188,83,26,923.52,47,7,35,3,8,38,62,5,
3189,33,9,41.6,5,46,19,6,23,54,46,4,
3192,3,25,792.48,71,1,22,4,1,51,49,4,
3193,59,16,398.32,92,0,7,0,1,44,56,4,
3195,36,9,67.6,74,1,23,1,1,56,44,4,
3201,42,36,1669.2,11,18,51,0,20,22,78,5,
3206,60,32,1529.84,58,1,31,8,1,18,82,4,
3211,51,11,27.04,45,8,35,9,3,65,35,4,
3212,44,11,47.84,19,11,26,43,0,60,40,5,
3214,28,30,1394.64,39,0,39,13,9,23,77,5,
3215,5,35,1665.04,49,3,35,2,11,14,86,6,
3232,72,12,194.48,85,2,10,1,2,51,49,3,
3237,42,36,1864.72,43,6,41,7,3,9,91,5,
3241,80,17,268.32,27,10,51,0,12,57,43,2,
3243,95,13,123.76,86,1,12,1,0,63,37,2,
3251,49,22,625.04,62,11,14,5,8,48,52,2,
3253,57,22,683.28,47,13,21,12,7,37,63,4,
3267,78,37,1929.2,63,5,22,3,7,15,85,6,
3272,83,10,67.6,15,11,16,38,20,61,39,3,
3273,165,8,19.76,41,14,33,9,2,67,33,5,
3276,57,11,95.68,41,14,26,7,13,42,58,3,
3282,52,37,1664,52,4,29,12,3,41,59,5,
3284,62,15,160.16,34,8,33,2,24,75,25,4,
3285,84,27,1257.36,78,2,19,0,1,11,89,5,
3289,86,9,19.76,8,12,46,4,30,53,47,3,
3302,2,38,1598.48,64,5,12,9,9,53,47,5,
3309,211,6,11.44,7,11,55,13,15,57,43,4,
3311,94,26,922.48,71,5,10,5,10,35,65,5,
3315,52,12,67.6,5,33,29,19,13,67,33,4,
3318,73,42,2185.04,19,13,36,13,19,12,88,5,
3319,38,45,2314,25,24,38,7,6,16,84,5,
3329,60,8,24.96,15,7,61,3,14,54,46,2,
3331,266,9,18.72,24,7,52,15,2,71,29,3,
3340,89,28,995.28,41,12,31,13,3,26,74,4,
3351,61,21,734.24,26,1,55,9,9,24,76,3,
3355,33,7,23.92,49,3,31,9,8,48,52,2,
3357,62,9,41.6,81,1,13,2,2,45,55,2,
3358,83,29,1267.76,72,3,22,1,2,34,66,6,
3359,61,14,160.16,28,23,38,8,3,67,33,2,
3370,16,17,229.84,13,25,22,17,23,70,30,2,
3374,71,11,57.2,30,12,44,2,12,73,27,5,
3377,70,37,1864.72,46,1,37,9,6,13,87,6,
3378,13,24,996.32,16,0,61,20,2,17,83,4,
3381,53,32,1597.44,35,5,55,4,1,9,91,4,
3383,23,13,362.96,23,27,17,4,29,25,75,2,
3384,72,24,746.72,71,6,19,1,3,47,53,2,
3387,5,10,79.04,49,2,38,4,7,43,57,3,
3394,77,9,34.32,34,23,30,7,6,52,48,3,
3399,11,20,617.76,34,9,29,15,13,29,71,4,
3407,59,27,863.2,91,1,6,2,0,50,50,5,
3409,41,11,42.64,54,3,38,5,0,54,46,3,
3411,18,23,567.84,70,1,26,1,2,56,44,3,
3421,40,37,1601.6,44,6,33,16,1,32,68,5,
3430,39,11,58.24,49,6,39,5,1,57,43,3,
3437,35,24,801.84,30,21,28,17,4,42,58,4,
3439,89,9,60.32,61,6,18,9,6,41,59,4,
3444,97,11,41.6,52,6,35,5,2,76,24,3,
3453,56,6,9.36,37,26,22,10,5,48,52,4,
3460,8,16,450.32,64,5,15,11,5,24,76,5,
3461,72,9,34.32,16,3,58,0,23,66,34,4,
3464,90,9,124.8,63,1,29,3,3,46,54,3,
3465,64,27,1051.44,42,13,27,8,10,24,76,5,
3467,90,25,1064.96,66,6,26,2,0,17,83,2,
3473,54,10,66.56,74,0,23,2,0,55,45,5,
3475,11,40,1724.32,77,2,19,1,1,48,52,5,
3489,89,10,76.96,29,10,42,7,12,44,56,3,
3490,78,12,46.8,59,1,34,3,3,77,23,4,
3491,74,21,511.68,93,1,6,0,0,57,43,2,
3492,65,13,194.48,80,0,14,3,3,54,46,5,
3494,74,37,1799.2,43,13,30,2,12,10,90,5,
3495,17,26,808.08,80,2,16,1,1,49,51,5,
3500,70,12,124.8,38,12,38,0,12,58,42,4,
3509,10,9,70.72,45,8,36,6,5,52,48,4,
3511,16,9,67.6,55,5,31,3,6,51,49,2,
3512,26,22,738.4,60,7,18,12,3,45,55,3,
3530,30,20,864.24,27,9,37,12,15,9,91,5,
3531,79,5,13.52,16,19,34,9,21,41,59,3,
3533,5,40,1998.88,42,5,42,6,5,15,85,6,
3541,3,15,225.68,14,33,27,10,16,53,47,3,
3543,52,20,358.8,72,6,18,3,1,60,40,4,
3545,34,40,2000.96,28,6,49,9,8,17,83,5,
3549,92,10,65.52,28,14,20,14,25,52,48,3,
3561,42,33,1257.36,10,34,23,6,28,46,54,6,
3569,61,42,1929.2,65,4,26,3,2,39,61,5,
3570,90,11,90.48,48,12,27,4,10,39,61,5,
3576,70,17,460.72,71,2,14,6,7,25,75,4,
3577,80,23,853.84,80,2,13,3,2,35,65,3,
3579,91,28,926.64,32,1,44,3,20,53,47,5,
3582,30,9,36.4,16,11,32,26,15,65,35,3,
3583,36,9,28.08,58,8,23,5,6,62,38,4,
3585,10,12,156,55,2,39,3,1,47,53,4,
3596,3,23,559.52,85,1,10,3,1,41,59,4,
3607,6,19,450.32,87,0,9,2,2,43,57,4,No
3620,84,21,453.44,93,0,4,1,1,53,47,2,
3626,46,23,748.8,67,3,22,4,4,38,62,2,
3631,16,18,451.36,83,2,14,0,1,45,55,5,
3637,67,32,1602.64,55,5,38,2,0,13,87,5,
3649,23,14,195.52,86,0,12,1,1,63,37,5,
3651,77,19,564.72,37,6,40,10,7,35,65,4,
3655,75,36,1858.48,19,4,44,14,19,8,92,5,
3658,65,14,78,21,38,15,17,9,68,32,2,
3663,2,39,1933.36,35,2,42,11,9,18,82,4,
3665,64,32,1466.4,49,3,29,7,12,13,87,5,
3670,92,25,799.76,46,10,30,4,9,46,54,4,
3672,94,10,66.56,73,4,17,5,0,56,44,2,
3675,68,36,1469.52,31,12,40,5,12,42,58,4,
3676,57,35,1730.56,57,6,36,1,1,15,85,5,
3684,63,21,500.24,93,0,6,0,0,54,46,4,
3687,70,11,54.08,24,8,37,19,12,60,40,2,
3690,46,33,1668.16,54,5,19,7,15,13,87,4,
3693,27,11,125.84,76,1,21,1,1,47,53,3,
3700,35,18,409.76,48,8,33,3,8,57,43,3,
3705,40,14,305.76,28,24,28,15,5,33,67,5,
3711,59,11,54.08,32,7,49,9,3,69,31,2,
3712,65,30,1068.08,60,4,23,2,11,31,69,4,
3721,72,31,1258.4,83,3,12,0,2,33,67,5,No
3724,75,36,1466.4,81,0,16,2,1,31,69,4,
3731,57,33,1667.12,36,4,51,6,4,13,87,4,
3733,196,7,20.8,59,10,23,4,3,59,41,3,
3738,61,26,797.68,82,2,14,2,0,43,57,6,
3740,1,24,626.08,71,0,26,1,2,57,43,5,
3743,70,10,32.24,16,21,26,12,25,59,41,4,
3748,92,11,154.96,90,1,8,1,1,42,58,4,
3752,89,23,795.6,72,1,25,1,1,40,60,5,
3756,349,8,18.72,28,10,53,7,2,59,41,2,
3775,30,14,229.84,70,0,23,2,5,35,65,5,
3777,81,15,266.24,51,16,31,0,1,32,68,3,
3780,86,25,862.16,35,15,24,9,17,44,56,2,
3788,58,16,229.84,74,1,24,1,1,57,43,4,
3796,26,33,1527.76,27,1,42,11,18,17,83,5,
3798,26,29,1183.52,68,3,25,1,3,22,78,6,
3801,83,18,516.88,68,9,9,11,3,36,64,4,
3802,71,25,1121.12,74,4,21,1,0,13,87,3,
3811,29,27,1062.88,39,4,36,9,12,32,68,5,
3820,70,18,274.56,4,42,30,0,23,71,29,4,
3828,28,9,22.88,6,31,16,30,17,56,44,4,
3830,19,21,737.36,78,1,15,3,3,39,61,5,
3831,45,29,1389.44,20,14,40,17,9,14,86,5,
3836,14,28,854.88,31,6,30,17,17,48,52,5,
3841,44,31,1530.88,40,3,48,0,9,7,93,5,
3846,28,10,32.24,39,5,42,6,8,63,37,4,
3847,26,10,35.36,40,6,47,1,6,62,38,3,
3849,50,27,874.64,82,2,14,1,1,48,52,5,
3858,78,27,1193.92,35,3,49,11,2,25,75,5,
3865,33,6,21.84,40,0,43,7,9,45,55,4,
3868,44,19,566.8,55,1,37,3,4,36,64,4,
3869,96,10,96.72,79,2,14,3,2,45,55,3,
3874,43,7,48.88,53,9,27,6,5,48,52,3,
3876,204,10,19.76,28,25,21,16,10,65,35,5,
3879,6,9,92.56,79,1,17,1,1,49,51,3,
3880,63,28,1332.24,23,15,44,5,13,11,89,5,
3888,4,13,95.68,72,2,22,2,2,64,36,4,
3895,17,21,565.76,54,4,36,2,4,49,51,3,
3899,44,18,453.44,60,1,33,1,5,38,62,4,
3901,23,13,153.92,45,4,44,3,3,60,40,3,
3904,32,11,123.76,46,1,29,11,14,44,56,4,
3905,13,37,1528.8,69,2,24,3,2,52,48,6,
3910,77,25,737.36,85,1,12,1,1,50,50,2,
3915,23,29,1202.24,71,5,21,3,0,30,70,5,
3917,80,11,41.6,7,26,50,13,4,66,34,5,
3925,16,28,996.32,77,4,16,2,1,42,58,4,
3932,94,11,66.56,9,23,18,50,1,45,55,4,
3933,28,26,684.32,52,5,35,4,5,61,39,4,
3934,36,11,126.88,75,4,20,1,0,49,51,4,
3936,24,36,1668.16,59,0,36,2,3,19,81,5,
3949,83,47,2506.4,54,6,27,6,7,10,90,6,
3951,41,22,509.6,56,6,33,3,2,57,43,3,
3957,64,11,94.64,41,7,44,6,2,63,37,3,
3958,82,6,42.64,50,13,27,6,3,25,75,3,
3959,56,10,95.68,77,0,12,2,9,47,53,3,
3964,61,14,123.76,19,11,25,32,14,61,39,3,
3966,28,18,352.56,69,6,17,2,6,60,40,4,
3972,26,12,75.92,71,2,25,2,0,62,38,2,
3980,43,40,2125.76,36,4,51,3,6,7,93,4,Yes
3981,60,19,400.4,76,1,20,2,1,54,46,5,
3982,50,25,681.2,51,7,34,8,1,59,41,4,
3989,57,18,455.52,74,2,18,3,3,32,68,4,
3990,18,10,42.64,68,3,22,3,4,62,38,2,
3996,46,31,1468.48,20,11,47,11,11,21,79,4,
3997,91,26,1068.08,66,1,27,5,2,22,78,6,
4006,21,16,352.56,20,25,29,24,2,35,65,4,
4015,3,6,16.64,30,8,45,7,10,51,49,3,
4025,65,7,126.88,55,5,22,0,18,29,71,4,
4026,77,14,158.08,25,11,32,14,18,55,45,4,
4029,87,24,678.08,55,0,38,1,6,47,53,2,
4030,83,26,791.44,78,2,14,1,6,51,49,4,
4032,65,10,30.16,33,10,43,4,9,56,44,3,
4033,86,15,230.88,20,3,38,20,19,47,53,4,
4039,33,8,34.32,10,5,23,20,41,45,55,5,
4044,58,16,226.72,87,4,7,1,1,61,39,4,
4045,386,4,11.44,55,3,34,3,5,36,64,2,
4046,49,20,570.96,62,0,28,8,2,44,56,4,
4047,13,18,362.96,76,1,22,1,0,44,56,2,
4055,74,37,1792.96,56,2,34,4,5,10,90,6,
4061,95,18,355.68,93,0,6,0,0,65,35,3,
4062,29,24,924.56,31,9,37,6,17,36,64,4,
4066,79,14,351.52,80,1,16,1,2,41,59,3,
4069,2,8,41.6,43,9,28,10,11,51,49,4,
4079,5,35,1532.96,68,8,15,9,0,50,50,5,
4090,63,19,804.96,24,7,53,10,6,8,92,5,
4093,57,12,93.6,60,5,29,2,5,59,41,4,
4099,58,14,191.36,53,4,35,4,4,48,52,2,
4100,51,27,1133.6,64,6,14,13,3,21,79,5,
4101,28,8,24.96,27,29,24,11,10,54,46,3,
4104,24,29,1003.6,80,1,17,0,2,45,55,6,
4110,78,13,93.6,44,2,38,7,9,63,37,3,
4112,62,30,1532.96,58,5,28,3,6,9,91,5,
4113,3,27,925.6,65,7,23,2,3,30,70,5,
4114,81,9,38.48,63,1,29,4,2,53,47,3,
4117,58,10,31.2,22,7,46,11,14,63,37,3,
4121,79,13,191.36,44,4,43,7,2,49,51,5,
4122,21,8,42.64,32,9,50,1,8,55,45,2,
4130,46,14,193.44,69,1,28,1,1,49,51,3,
4131,65,33,1660.88,46,8,32,0,13,9,91,5,
4133,22,37,1791.92,49,8,38,2,3,17,83,6,
4134,39,19,361.92,41,9,29,14,7,73,27,4,
4135,126,6,20.8,81,0,18,0,0,45,55,3,
4140,2,10,67.6,53,12,20,2,13,42,58,3,
4141,8,12,67.6,55,1,25,14,5,69,31,4,
4144,37,30,1324.96,57,2,35,1,5,14,86,6,
4150,17,22,614.64,81,2,13,2,2,44,56,3,
4159,85,5,43.68,30,22,29,4,15,31,69,3,
4163,26,17,405.6,89,0,9,1,1,34,66,2,
4164,66,22,985.92,34,7,26,13,20,12,88,2,
4165,39,27,747.76,80,1,16,3,0,55,45,4,
4167,25,28,1053.52,33,15,33,1,18,44,56,5,
4170,100,15,315.12,40,13,27,9,10,39,61,3,
4175,41,14,411.84,58,10,27,2,3,29,71,4,
4178,82,37,1794,32,8,52,6,3,15,85,4,
4180,36,37,1867.84,61,4,34,1,1,16,84,6,
4183,68,27,1063.92,55,8,27,6,4,28,72,6,
4189,22,16,230.88,45,5,38,4,8,63,37,5,
4192,13,11,43.68,26,8,47,10,9,76,24,4,
4202,41,13,195.52,91,1,7,1,0,56,44,4,
4217,74,7,45.76,36,11,22,10,21,37,63,3,
4222,9,29,993.2,45,8,28,9,11,41,59,5,
4226,61,11,72.8,12,32,30,12,14,53,47,4,
4232,97,36,1536.08,68,4,18,6,4,37,63,5,
4246,46,26,1118,18,8,64,0,10,17,83,5,
4247,95,48,2505.36,28,16,36,4,15,14,86,5,
4250,73,47,2383.68,22,10,51,6,12,15,85,4,
4254,8,11,63.44,6,32,12,48,2,55,45,3,
4257,21,25,629.2,96,0,4,0,0,62,38,5,
4262,89,13,79.04,51,18,23,3,5,65,35,3,No
4266,31,22,933.92,24,14,41,19,2,12,88,5,
4272,12,9,54.08,28,14,18,9,32,61,39,5,
4273,1,18,405.6,71,4,20,3,1,55,45,5,
4275,93,12,121.68,32,6,54,2,6,52,48,3,
4276,62,31,1197.04,78,3,16,3,0,41,59,5,
4278,60,20,509.6,83,1,15,1,0,48,52,3,
4281,31,16,270.4,38,5,42,13,1,61,39,4,
4282,15,34,1467.44,95,0,4,1,0,33,67,4,
4285,94,11,55.12,35,3,47,5,10,52,48,3,
4293,90,30,1193.92,67,2,29,1,2,29,71,6,
4294,24,20,744.64,50,7,31,2,9,21,79,2,
4303,60,35,1802.32,32,15,33,8,12,13,87,5,
4315,46,32,1320.8,69,4,15,4,8,45,55,6,
4320,64,9,34.32,3,15,24,27,31,58,42,2,
4321,25,17,356.72,64,4,27,1,4,47,53,4,
4326,82,44,2126.8,74,3,22,0,1,37,63,5,
4327,73,38,1933.36,58,3,30,1,7,16,84,6,
4333,2,31,1329.12,49,1,31,10,9,28,72,5,
4339,34,28,1068.08,43,4,33,13,7,28,72,4,
4342,73,18,362.96,49,1,37,6,7,58,42,4,
4345,345,6,19.76,24,23,29,4,21,45,55,3,
4355,20,24,792.48,85,1,13,0,1,42,58,5,
4359,32,21,625.04,84,0,15,0,0,47,53,4,
4361,3,6,16.64,71,1,23,3,2,61,39,2,
4362,59,9,56.16,25,16,40,9,10,56,44,4,
4363,36,28,864.24,72,2,17,3,5,63,37,4,
4366,188,8,19.76,59,5,30,5,1,60,40,2,
4367,21,34,1726.4,12,13,66,2,7,10,90,6,
4373,41,29,1393.6,28,18,36,6,11,11,89,4,
4376,12,26,986.96,49,26,14,11,0,36,64,5,
4382,1,9,32.24,15,9,40,19,17,48,52,4,
4385,61,10,157.04,92,1,5,1,1,36,64,5,
4388,45,41,1993.68,62,5,30,2,2,21,79,5,
4390,166,9,9.36,24,7,37,15,17,77,23,2,
4392,80,18,456.56,37,14,19,17,13,32,68,3,
4395,23,33,1521.52,53,10,32,5,0,18,82,4,
4396,13,35,1525.68,65,4,23,4,4,29,71,4,
4397,76,10,39.52,12,21,15,38,14,64,36,4,
4399,10,20,615.68,40,18,32,3,7,46,54,2,
4401,11,18,451.36,85,2,12,0,1,50,50,3,
4402,59,47,2250.56,54,0,36,4,6,36,64,5,
4405,45,23,683.28,53,4,32,1,10,47,53,3,
4409,78,39,1990.56,34,7,49,0,10,13,87,5,
4415,11,21,733.2,36,12,21,17,14,22,78,3,
4416,20,21,500.24,96,0,4,0,0,58,42,3,
4421,23,9,96.72,47,4,33,6,10,53,47,4,
4425,91,9,57.2,37,18,27,13,6,37,63,4,
4428,16,9,39.52,22,16,41,7,13,55,45,5,
4431,96,12,45.76,43,5,44,1,6,58,42,4,
4433,21,14,365.04,44,12,26,8,10,34,66,4,
4439,76,9,29.12,7,20,32,12,30,62,38,5,
4442,76,10,46.8,14,28,7,36,15,35,65,3,
4443,73,41,1993.68,29,6,29,9,28,22,78,6,
4447,39,17,398.32,60,2,36,1,0,37,63,4,
4449,84,14,189.28,53,2,35,6,5,53,47,4,
4451,213,6,16.64,46,1,35,8,10,49,51,5,
4458,91,36,1735.76,74,1,22,1,2,29,71,4,
4463,80,10,61.36,41,4,39,1,15,52,48,2,
4464,72,26,920.4,56,8,21,10,5,33,67,5,
4468,66,15,190.32,31,13,44,8,4,55,45,5,
4472,33,36,1531.92,52,7,17,16,8,44,56,6,
4474,78,19,455.52,79,3,16,0,2,50,50,3,Yes
4476,35,23,740.48,70,1,27,1,1,37,63,2,
4477,66,41,1863.68,68,6,17,1,8,43,57,5,
4479,82,9,28.08,7,12,17,43,21,68,32,5,
4486,445,3,20.8,36,8,42,5,9,29,71,3,
4491,93,28,1251.12,31,19,32,16,1,16,84,5,
4496,91,9,122.72,37,11,20,19,13,40,60,4,
4500,83,34,1268.8,40,2,42,6,10,43,57,5,
4504,35,9,67.6,71,1,25,1,2,47,53,3,
4508,73,29,1061.84,84,1,10,4,0,41,59,6,
4512,81,29,938.08,47,4,40,2,7,50,50,6,
4513,93,23,924.56,50,5,43,1,1,14,86,3,
4517,6,10,31.2,14,16,21,32,17,62,38,5,
4523,13,12,53.04,16,6,69,6,3,77,23,3,
4526,64,41,1927.12,62,8,24,5,1,22,78,5,
4528,4,26,867.36,76,3,18,3,0,35,65,5,
4530,23,21,795.6,43,6,47,4,0,14,86,4,
4531,47,9,50.96,5,3,38,31,23,52,48,4,
4532,32,23,936,81,2,14,2,2,29,71,4,
4533,46,34,1527.76,51,3,27,5,15,29,71,5,
4535,80,9,35.36,4,27,22,3,44,65,35,3,
4543,86,11,38.48,10,14,40,3,33,56,44,3,
4558,86,24,989.04,41,7,43,3,6,16,84,3,
4563,28,24,611.52,77,0,17,1,4,61,39,2,
4565,15,23,735.28,57,5,15,11,11,49,51,4,
4570,86,30,1067.04,89,2,9,0,0,38,62,6,
4581,89,32,1127.36,84,0,15,0,0,45,55,5,
4582,43,11,60.32,54,4,39,1,2,59,41,4,
4588,28,30,1055.6,83,1,15,1,1,38,62,4,
4589,74,37,1665.04,34,19,34,10,3,20,80,5,
4590,43,9,195.52,76,1,18,2,3,25,75,4,
4595,95,14,265.2,81,0,14,3,2,54,46,4,
4596,88,23,615.68,89,0,10,0,1,44,56,5,
4597,47,30,1061.84,67,4,21,1,7,51,49,6,
4599,87,20,622.96,33,18,38,1,10,33,67,3,
4600,86,14,190.32,27,22,20,15,16,59,41,3,
4601,31,12,191.36,59,3,30,0,8,39,61,4,
4604,88,40,1792.96,42,7,38,10,2,34,66,5,
4608,76,32,1469.52,68,0,27,2,2,9,91,4,
4613,30,9,38.48,2,4,14,25,55,46,54,3,
4621,80,26,990.08,78,3,16,2,1,29,71,6,
4630,90,22,927.68,18,8,41,19,13,9,91,3,
4637,21,33,1534,54,1,40,2,3,12,88,6,
4638,46,25,860.08,67,5,26,1,0,49,51,3,
4652,50,12,47.84,6,29,15,25,25,68,32,2,
4656,87,27,1067.04,63,1,31,2,4,49,51,4,
4667,84,7,45.76,51,6,23,10,10,45,55,3,
4669,42,28,1256.32,30,7,40,2,21,18,82,5,
4673,13,23,792.48,17,17,34,17,16,29,71,4,
4683,88,23,742.56,40,4,34,6,16,31,69,2,
4685,18,6,42.64,70,2,23,5,0,41,59,4,
4691,41,31,1328.08,55,5,30,5,5,22,78,5,
4694,25,11,95.68,56,3,38,2,1,61,39,2,
4702,27,13,96.72,83,2,13,1,1,66,34,3,
4706,40,29,1328.08,30,17,41,4,9,19,81,5,
4709,73,35,1729.52,45,4,33,9,9,11,89,4,
4710,81,31,1469.52,42,2,53,2,1,15,85,5,
4711,28,12,123.76,73,0,23,1,2,62,38,5,
4721,24,31,1066,93,0,7,0,0,44,56,5,
4731,96,24,1058.72,49,9,32,4,6,17,83,3,
4735,65,42,2121.6,52,10,26,12,0,14,86,5,
4744,61,26,809.12,78,1,20,1,0,52,48,5,
4749,45,14,230.88,59,3,28,4,5,54,46,3,
4751,48,11,59.28,48,7,31,8,6,66,34,2,
4756,19,12,48.88,31,2,53,6,8,84,16,3,
4757,38,35,1590.16,29,4,48,10,10,20,80,5,No
4760,29,6,37.44,55,11,19,9,6,32,68,4,
4761,73,47,2505.36,69,2,25,2,3,7,93,4,
4762,60,25,676,55,3,37,4,1,47,53,5,
4764,28,9,193.44,45,16,22,14,3,25,75,2,
4766,69,17,224.64,52,1,35,6,6,76,24,3,
4767,58,9,30.16,25,11,37,22,5,52,48,3,
4768,63,15,452.4,59,4,33,3,2,28,72,3,
4769,23,19,310.96,42,4,39,2,13,65,35,5,
4770,70,36,1453.92,36,19,30,5,10,50,50,4,
4773,8,18,616.72,19,7,17,39,18,16,84,4,
4775,12,48,2445.04,40,5,46,7,2,16,84,5,
4790,52,10,36.4,66,0,26,4,4,52,48,4,
4794,37,14,83.2,14,5,39,28,14,61,39,2,
4800,40,6,42.64,73,2,21,3,0,53,47,4,
4804,10,26,811.2,73,4,16,4,3,64,36,5,
4808,14,21,678.08,51,12,12,19,7,45,55,5,
4816,52,34,1603.68,50,8,35,3,3,30,70,5,
4817,48,25,793.52,64,0,30,4,2,41,59,3,
4821,77,10,42.64,45,2,37,15,1,59,41,4,
4824,92,37,1929.2,25,20,38,14,3,14,86,5,
4826,76,38,1522.56,71,3,14,8,4,39,61,5,
4836,41,12,46.8,84,2,14,0,0,64,36,3,
4837,26,19,404.56,94,0,5,1,0,45,55,4,
4849,10,8,54.08,59,7,26,6,2,52,48,3,
4864,26,31,1069.12,63,3,32,0,2,40,60,5,
4866,84,21,514.8,65,4,23,5,4,54,46,4,
4873,80,27,983.84,52,4,28,4,13,45,55,4,
4874,17,22,796.64,47,20,10,21,2,29,71,5,
4879,21,44,2249.52,38,5,20,3,35,18,82,5,
4886,25,10,56.16,65,2,30,1,2,63,37,4,
4888,79,48,2190.24,88,0,11,0,1,41,59,6,
4890,10,27,1252.16,25,13,44,5,13,10,90,5,
4891,72,40,1997.84,37,7,40,15,1,10,90,4,
4897,47,9,33.28,71,3,23,2,1,62,38,4,
4901,39,24,674.96,91,1,5,2,2,59,41,4,
4902,66,33,1462.24,53,6,29,6,6,29,71,5,
4912,74,17,629.2,41,9,40,1,9,12,88,4,
4918,55,30,1199.12,61,2,24,2,10,29,71,5,
4920,40,28,1265.68,47,1,43,4,5,11,89,5,
4922,93,25,1130.48,40,4,29,15,12,14,86,5,
4923,1,14,229.84,88,0,12,0,0,61,39,2,
4927,20,10,154.96,38,5,47,5,4,40,60,5,
4937,32,30,1263.6,21,14,45,16,4,28,72,5,
4940,3,13,232.96,35,10,22,15,18,55,45,4,
4942,38,16,313.04,84,1,14,1,1,43,57,4,
4943,358,8,20.8,11,26,22,8,33,53,47,4,
4945,4,16,318.24,36,4,46,8,6,41,59,5,
